iter	Passed	Remaining
227	80013	270921
228	80539	271161
229	81080	271442
230	81205	270333
231	81239	268929
232	81780	269209
233	82302	269418
234	82518	268624
235	82551	267242
236	83020	267276
237	83488	267302
238	83551	266035
239	83582	264676
240	84058	264731
241	84493	264652
242	85002	264803
243	85489	264878
244	86006	265040
245	86557	265303
246	87041	265353
247	87536	265434
248	87599	264205
249	88070	264212
250	88542	264217
251	89105	264488
252	89568	264456
253	90111	264659
254	90634	264795
255	90878	264115
256	91369	264154
257	91477	263085
258	91954	263081
259	92106	262150
260	92557	262070
261	93052	262108
262	93605	262309
263	94037	262164
264	94521	262162
265	94709	261340
266	94778	260198
267	95288	260266
268	95318	259025
269	95834	259108
270	96336	259149
271	96799	259080
272	97286	259075
273	97334	257899
274	97837	257935
275	97867	256723
276	98427	256905
277	98972	257043
278	99119	256148
279	99152	254964
280	99219	253875
281	99712	253877
282	99744	252708
283	100286	252835
284	100316	251671
285	100856	251789
286	101128	251236
287	101224	250248
288	101771	250379
289	101871	249410
290	102307	249264
291	102835	249340
292	103370	249430
293	103712	249050
294	104210	249044
295	104257	247964
296	104800	248063
297	104903	247122
298	105056	246302
299	105508	246185
300	105595	245219
301	106147	245334
302	106421	244804
303	106964	244891
304	107075	243991
305	107105	242913
306	107160	241895
307	107284	241041
308	107826	241127
309	108290	241033
310	108319	239974
311	108846	240020
312	109383	240085
313	109940	240188
314	110454	240193
315	110602	239405
316	111136	239450
317	111663	239480
318	112181	239484
319	112236	238502
320	112690	238370
321	112800	237511
322	113353	237586
323	113895	237634
324	113928	236621
325	113961	235614
326	114133	234898
327	114193	233958
328	114757	234049
329	115316	234126
330	115881	234212
331	116463	234329
332	116989	234331
333	117067	233434
334	117547	233340
335	118020	233230
336	118186	232514
337	118686	232457
338	118745	231536
339	119302	231587
340	119365	230680
341	119847	230584
342	120057	229964
343	120090	229008
344	120605	228976
345	121072	228848
346	121136	227960
347	121665	227948
348	122213	227967
349	122321	227168
350	122779	227020
351	122811	226085
352	123309	226009
353	123821	225957
354	123992	225282
355	124054	224412
356	124391	224043
357	124509	223281
358	125005	223200
359	125492	223098
360	125521	222183
361	125625	221406
362	126168	221402
363	126658	221304
364	127161	221225
365	127711	221227
366	128156	221043
367	128710	221045
368	129234	220993
369	129291	220145
370	129771	220016
371	130311	219987
372	130838	219934
373	131369	219886
374	131842	219737
375	132323	219601
376	132832	219508
377	133358	219441
378	133390	218562
379	133455	217743
380	134000	217706
381	134539	217657
382	134648	216914
383	135143	216792
384	135654	216694
385	136185	216626
386	136291	215882
387	136822	215812
388	137335	215712
389	137506	215074
390	138006	214951
391	138543	214884
392	139037	214747
393	139104	213952
394	139621	213850
395	140144	213756
396	140669	213661
397	141200	213575
398	141738	213496
399	142290	213436
400	142319	212592
401	142551	212054
402	143090	211972
403	143567	211797
404	144136	211756
405	144687	211686
406	145200	211557
407	145702	211410
408	145734	210584
409	146282	210504
410	146387	209786
411	146884	209631
412	146946	208855
413	147445	208703
414	147929	208527
415	148460	208415
416	148970	208273
417	149478	208125
418	149508	207313
419	150070	207240
420	150613	207138
421	151130	206998
422	151624	206825
423	152129	206666
424	152618	206484
425	153154	206362
426	153603	206123
427	154131	205988
428	154632	205815
429	155149	205662
430	155662	205502
431	156210	205387
432	156735	205239
433	156764	204444
434	157299	204309
