iter	Logloss
0	0.68981116
1	0.6868126298
2	0.6839173321
3	0.6811972108
4	0.6785623823
5	0.6762287391
6	0.6741071418
7	0.6718148317
8	0.6696561022
9	0.6678985118
10	0.6661868777
11	0.664637609
12	0.6630612421
13	0.6616584776
14	0.6603444563
15	0.6588947551
16	0.6577620616
17	0.6564582883
18	0.65545969
19	0.6543975842
20	0.653374679
21	0.6524631919
22	0.6516633065
23	0.6508230426
24	0.6498219532
25	0.6491782537
26	0.6485365041
27	0.647772487
28	0.647222922
29	0.6466291415
30	0.645977529
31	0.6455318815
32	0.6451031772
33	0.6443173334
34	0.6435974543
35	0.6432070775
36	0.6428150911
37	0.6424747965
38	0.6420732976
39	0.6418340269
40	0.6415798791
41	0.6409370136
42	0.6407389819
43	0.640423583
44	0.6398567733
45	0.6395456265
46	0.6390380303
47	0.6388448189
48	0.6386597735
49	0.6384936012
50	0.6381428929
51	0.6379264918
52	0.6374587144
53	0.6373258496
54	0.6369217759
55	0.6366808202
56	0.6365740026
57	0.6361312464
58	0.6358706817
59	0.6355696009
60	0.6354762748
61	0.6353293472
62	0.6352509448
63	0.6350546265
64	0.6348583461
65	0.6347284572
66	0.6345544407
67	0.6345101499
68	0.6344620773
69	0.6344262096
70	0.6342735121
71	0.6339793548
72	0.6339155031
73	0.6337229738
74	0.6336690494
75	0.6335881241
76	0.6335145579
77	0.6334010706
78	0.6332633857
79	0.6331438952
80	0.6330115002
81	0.6329714294
82	0.6328512206
83	0.6328266436
84	0.6326663844
85	0.6326517268
86	0.6326354262
87	0.6323179152
88	0.6323072829
89	0.6322972492
90	0.6321399929
91	0.6320678395
92	0.6320068346
93	0.6319000526
94	0.6318080593
95	0.6316440397
96	0.6314217406
97	0.6312789319
98	0.6312734324
99	0.6312682585
100	0.6311571769
101	0.6310198758
102	0.6309626851
103	0.6309041845
104	0.6307780392
105	0.6307745615
106	0.6306363899
107	0.6306253352
108	0.6303372846
109	0.630274469
110	0.6301159513
111	0.6301136589
112	0.62989587
113	0.6298440864
114	0.629780693
115	0.6297398519
116	0.6294279617
117	0.629220092
118	0.629218731
119	0.6292165137
120	0.6291606388
121	0.6291465855
122	0.6290165396
123	0.6287538265
124	0.628737451
125	0.6287344345
126	0.6286791335
127	0.6286763212
128	0.6286380257
129	0.6286366666
130	0.6286032557
131	0.6286021598
132	0.6284624761
133	0.6284094997
134	0.6282996768
135	0.6280307281
136	0.6280263786
137	0.6279634179
138	0.6278579704
139	0.6276796949
140	0.6275120755
141	0.6275086127
142	0.6274443438
143	0.6274108346
144	0.6274106344
145	0.6274101813
146	0.6274100041
147	0.6272784783
148	0.6271918859
149	0.6271271893
150	0.627079598
151	0.626918621
152	0.6268550043
153	0.6268520724
154	0.6265744024
155	0.6265465854
156	0.6265414467
157	0.6265354846
158	0.6264182333
159	0.6264182316
160	0.6264164057
161	0.6263746013
162	0.6261672108
163	0.6260487968
164	0.6260487728
165	0.6260482098
166	0.6258848535
167	0.6258848454
168	0.6258227476
169	0.6257638123
170	0.6256447992
171	0.6256041213
172	0.6255298775
173	0.6253669603
174	0.6251542116
175	0.6251035983
176	0.6251007031
177	0.6250966304
178	0.6250802936
179	0.6249495349
180	0.6249286322
181	0.6247922234
182	0.6247152983
183	0.6246471003
184	0.6245233349
185	0.624440285
186	0.6244375704
187	0.6244358229
188	0.6244090933
189	0.6243877979
190	0.6243818938
191	0.62438098
192	0.62438098
193	0.6242885768
194	0.624265847
195	0.624252152
196	0.6241305643
197	0.6240997616
198	0.6240981712
199	0.6239756573
200	0.6237697821
201	0.6237609107
202	0.6237020753
203	0.6236420313
204	0.6235573653
205	0.6234434854
206	0.6234434746
207	0.6234146151
208	0.6233452846
209	0.6232128805
210	0.6231529722
211	0.6231522547
212	0.6231489577
213	0.6230843706
214	0.6230503737
215	0.6230289151
216	0.6230162921
217	0.6229386295
218	0.6229382368
219	0.6228473793
220	0.6228158944
221	0.6228140176
222	0.6227644719
223	0.6227008822
224	0.6227008785
225	0.6225944344
226	0.6225837123
227	0.6225837116
228	0.6223145882
229	0.6223045744
230	0.6223031291
231	0.6223031287
232	0.6221104176
233	0.6219613109
234	0.6219559721
235	0.6219559635
236	0.6219395796
237	0.6216787541
238	0.62167874
239	0.6216787366
240	0.6215977498
241	0.621580633
242	0.6215691776
243	0.6215352731
244	0.6214899091
245	0.6214203855
246	0.6213498464
247	0.6212400064
248	0.6212400027
249	0.6212342495
250	0.6212220601
251	0.6209979
252	0.6208592348
253	0.6208032123
254	0.6207294538
255	0.6207272214
256	0.6206950308
257	0.6206948713
258	0.6206873048
259	0.6206861539
260	0.6206539635
261	0.6206410748
262	0.6205154605
263	0.6204554611
264	0.6204043519
265	0.6204021741
266	0.6204018684
267	0.6203221225
268	0.6203221219
269	0.6202904569
270	0.6202818093
271	0.6202753752
272	0.6202018325
273	0.6202010055
274	0.6201866839
275	0.620186682
276	0.6199808108
277	0.6198411236
278	0.6198409037
279	0.6198408943
280	0.6198406548
281	0.6198079208
282	0.6198079187
283	0.6197357753
284	0.6197357673
285	0.6196613188
286	0.6196574927
287	0.6196570646
288	0.6195786113
289	0.6195779421
290	0.6194872535
291	0.6194509072
292	0.6194241829
293	0.619418689
294	0.6193729817
295	0.6193723457
296	0.6193601092
297	0.6193600839
298	0.619359299
299	0.6193435503
300	0.6193421118
301	0.6193154486
302	0.619315082
303	0.6192404108
304	0.6192404039
305	0.6192404033
306	0.6192403988
307	0.6192388095
308	0.6191102146
309	0.6191065734
310	0.6191065728
311	0.6190856393
312	0.6190789913
313	0.6190211955
314	0.6189191827
315	0.6189190493
316	0.6187498288
317	0.6186717799
318	0.6186334143
319	0.61863341
320	0.618463405
321	0.6184632999
322	0.6182575006
323	0.6181813046
324	0.6181813012
325	0.6181812988
326	0.6181750272
327	0.6181748936
328	0.6181634917
329	0.6181056438
330	0.6180924151
331	0.6179656539
332	0.6179466034
333	0.6179465425
334	0.6179213307
335	0.6179021199
336	0.6179018819
337	0.617781798
338	0.6177817831
339	0.6177622316
340	0.6177619648
341	0.6177519163
342	0.6177474578
343	0.6177474561
344	0.6176925734
345	0.6176419235
346	0.6176416864
347	0.6175280929
348	0.6174303486
349	0.6174301413
350	0.6174278525
351	0.6174278464
352	0.6174087806
353	0.6173978578
354	0.6173963896
355	0.6173963871
356	0.617387049
357	0.6173862356
358	0.6173164303
359	0.6172422454
360	0.6172422407
361	0.6172422401
362	0.6170899146
363	0.6169721433
364	0.6168918596
365	0.6168782677
366	0.6168399945
367	0.6166661175
368	0.6165991372
369	0.6165991361
370	0.6165013197
371	0.6164696283
372	0.6164544637
373	0.6164133861
374	0.6163008171
375	0.6162790252
376	0.6162494045
377	0.6162156382
378	0.6162156307
379	0.6162155443
380	0.6161966184
381	0.6160033103
382	0.6160033064
383	0.6159101982
384	0.6159035126
385	0.6158849685
386	0.6158824805
387	0.6158447912
388	0.6157688686
389	0.6157680162
390	0.615554793
391	0.6153787613
392	0.6153041929
393	0.6153041806
394	0.6152735686
395	0.6150783461
396	0.6149963297
397	0.6149395835
398	0.6149169465
399	0.6148380535
400	0.6148380519
401	0.6148338055
402	0.6147538233
403	0.614693357
404	0.6146455895
405	0.6144934508
406	0.6143904809
407	0.6142900725
408	0.614290069
409	0.6140369524
410	0.6140356568
411	0.6139779023
412	0.6139779022
413	0.6139636286
414	0.613939068
415	0.6138376823
416	0.61376768
417	0.6137012273
418	0.6137012226
419	0.6136512822
420	0.6135660964
421	0.6134371908
422	0.613288842
423	0.6132582604
424	0.6129288709
425	0.6128862912
426	0.6128794632
427	0.6126973229
428	0.6126319985
429	0.6124471798
430	0.6124169572
431	0.6122903587
432	0.6121251878
433	0.6121251877
434	0.6120706965
